id,category,value,date,notes
1,C,67.11,2024-01-02,review
2,D,13.01,2024-01-03,review
3,D,285.19,2024-01-04,watch
4,C,279.88,2024-01-05,review
5,D,25.92,2024-01-06,ok
6,C,57.54,2024-01-07,
7,A,147.88,2024-01-08,ok
8,A,140.81,2024-01-09,ok
9,C,5.29,2024-01-10,ok
10,A,148.03,2024-01-11,watch
11,A,53.98,2024-01-12,review
12,D,94.82,2024-01-13,ok
13,B,299.19,2024-01-14,check
14,D,14.89,2024-01-15,review
15,D,26.11,2024-01-16,review
16,B,233.09,2024-01-17,review
17,B,39.36,2024-01-18,ok
18,C,319.0,2024-01-19,check
19,C,333.36,2024-01-20,check
20,A,27.77,2024-01-21,review
21,D,242.12,2024-01-22,ok
22,C,175.82,2024-01-23,ok
23,A,136.67,2024-01-24,review
24,B,190.12,2024-01-25,
25,D,113.69,2024-01-26,watch
26,C,207.74,2024-01-27,watch
27,A,336.82,2024-01-28,check
28,B,112.11,2024-01-29,review
29,C,99.13,2024-01-30,ok
30,C,64.27,2024-01-31,
31,B,339.42,2024-02-01,
32,B,264.48,2024-02-02,review
33,D,135.73,2024-02-03,check
34,C,140.24,2024-02-04,check
35,B,121.08,2024-02-05,
36,B,95.64,2024-02-06,watch
37,A,46.71,2024-02-07,review
38,B,251.1,2024-02-08,review
39,C,141.25,2024-02-09,ok
40,B,151.16,2024-02-10,
41,A,142.12,2024-02-11,check
42,A,220.29,2024-02-12,review
43,B,277.42,2024-02-13,ok
44,A,7.32,2024-02-14,ok
45,D,97.7,2024-02-15,
46,A,54.56,2024-02-16,watch
47,A,294.26,2024-02-17,ok
48,B,312.21,2024-02-18,review
49,C,206.79,2024-02-19,
50,B,329.9,2024-02-20,check
51,C,43.61,2024-02-21,check
52,A,203.28,2024-02-22,check
53,A,299.63,2024-02-23,review
54,B,329.62,2024-02-24,
55,C,213.25,2024-02-25,watch
56,A,327.35,2024-02-26,check
57,A,314.99,2024-02-27,
58,D,288.18,2024-02-28,check
59,B,69.11,2024-02-29,
60,C,86.89,2024-03-01,review
61,A,139.61,2024-03-02,check
62,A,221.44,2024-03-03,watch
63,C,196.82,2024-03-04,ok
64,D,302.37,2024-03-05,review
65,D,175.3,2024-03-06,review
66,D,248.39,2024-03-07,review
67,D,189.54,2024-03-08,review
68,B,160.75,2024-03-09,
69,B,201.95,2024-03-10,ok
70,B,6.15,2024-03-11,ok
71,B,193.02,2024-03-12,watch
72,B,344.27,2024-03-13,watch
73,D,197.92,2024-03-14,watch
74,C,51.79,2024-03-15,check
75,A,30.4,2024-03-16,review
76,D,272.03,2024-03-17,check
77,A,109.4,2024-03-18,watch
78,D,189.08,2024-03-19,ok
79,C,160.27,2024-03-20,check
80,D,158.93,2024-03-21,ok
